timestep,Earth x,Earth y,Earth z,Moon x,Moon y,Moon z
0.0,-0.628528200566369,-0.9999994877308808,0.0,363299964.7430482,108699.99995137975,0.0
100.0,0.11441542127850024,-0.9998878294050633,0.0,363299894.22914237,216899.98935371873,0.0
200.0,1.2288308625231728,-0.9995543912042488,0.0,363299788.4582829,325099.95770659344,0.0
300.0,2.714718094167148,-0.9988885392809402,0.0,363299647.43047243,433299.89450957766,0.0
400.0,4.572077061220833,-0.9977796397599631,0.0,363299471.14571625,541499.7892622425,0.0
500.0,6.800907682705514,-0.9961170587399866,0.0,363299259.604022,649699.6314641567,0.0
600.0,9.40120985165332,-0.9937901622950451,0.0,363299012.8053999,757899.4106148864,0.0
700.0,12.372983435107193,-0.9906883164760591,0.0,363298730.7498625,866099.116213996,0.0
800.0,15.71622827412084,-0.9867008873123566,0.0,363298413.4374249,974298.7377610472,0.0
900.0,19.430944183758704,-0.9817172408131939,0.0,363298060.86810464,1082498.2647556004,0.0
1000.0,23.5171309530959,-0.9756267429692774,0.0,363297673.0419218,1190697.686697214,0.0
1100.0,27.974788345218187,-0.9683187597542846,0.0,363297249.9588988,1298896.9930854447,0.0
1200.0,32.803916097221894,-0.9596826571263853,0.0,363296791.6190606,1407096.1734198479,0.0
1300.0,38.00451392021389,-0.9496078010297634,0.0,363296298.02243465,1515295.2171999775,0.0
1400.0,43.576581499311494,-0.9379835573961376,0.0,363295769.1690508,1623494.1139253865,0.0
1500.0,49.52011849364246,-0.9246992921462835,0.0,363295205.0589415,1731692.8530956265,0.0
1600.0,55.83512453634485,-0.9096443711915546,0.0,363294605.6921415,1839891.4242102483,0.0
1700.0,62.52159923456704,-0.8927081604354038,0.0,363293971.06868804,1948089.8167688022,0.0
1800.0,69.57954216946759,-0.8737800257749052,0.0,363293301.1886209,2056288.0202708377,0.0
1900.0,77.00895289621518,-0.8527493331022755,0.0,363292596.05198234,2164486.0242159036,0.0
2000.0,84.80983094398856,-0.8295054483063956,0.0,363291855.658817,2272683.818103549,0.0
2100.0,92.98217581597646,-0.8039377372743323,0.0,363291080.0091721,2380881.3914333223,0.0
2200.0,101.52598698937749,-0.7759355658928601,0.0,363290269.10309714,2489078.733704772,0.0
